HJD	Mag	Band
2459740.35735 	-1.854 	I
2459740.36007 	-1.875 	I
2459740.36278 	-1.822 	I
2459740.36550 	-1.832 	I
2459740.36822 	-1.847 	I
2459740.37093 	-1.830 	I
2459740.37365 	-1.795 	I
2459740.37635 	-1.813 	I
2459740.37907 	-1.794 	I
2459740.38178 	-1.764 	I
2459740.38450 	-1.759 	I
2459740.38721 	-1.730 	I
2459740.38993 	-1.751 	I
2459740.39264 	-1.723 	I
2459740.39536 	-1.734 	I
2459740.40675 	-1.627 	I
2459740.40946 	-1.602 	I
2459740.41218 	-1.574 	I
2459740.41488 	-1.533 	I
2459740.41759 	-1.519 	I
2459740.42031 	-1.511 	I
2459740.42302 	-1.510 	I
2459740.42574 	-1.510 	I
2459740.42845 	-1.500 	I
2459740.43116 	-1.496 	I
2459740.43388 	-1.493 	I
2459740.43660 	-1.493 	I
2459740.43930 	-1.495 	I
2459740.44202 	-1.500 	I
2459740.44473 	-1.493 	I
2459740.44745 	-1.499 	I
2459740.45016 	-1.505 	I
2459740.45288 	-1.504 	I
2459740.45830 	-1.525 	I
2459740.46102 	-1.569 	I
2459740.46372 	-1.572 	I
2459740.46644 	-1.612 	I
2459740.46915 	-1.616 	I
2459740.47187 	-1.645 	I
2459740.47458 	-1.651 	I
2459744.17424 	-1.766 	I
2459744.17835 	-1.740 	I
2459744.18246 	-1.747 	I
2459744.18657 	-1.728 	I
2459744.19068 	-1.708 	I
2459744.19478 	-1.697 	I
2459744.19889 	-1.677 	I
2459744.20300 	-1.659 	I
2459744.20711 	-1.625 	I
2459744.21122 	-1.595 	I
2459744.21533 	-1.566 	I
2459744.21944 	-1.537 	I
2459744.22355 	-1.509 	I
2459744.22764 	-1.484 	I
2459744.23175 	-1.474 	I
2459744.23586 	-1.473 	I
2459744.23997 	-1.471 	I
2459744.24407 	-1.479 	I
2459744.24817 	-1.468 	I
2459744.25228 	-1.476 	I
2459744.25639 	-1.477 	I
2459744.26049 	-1.500 	I
2459744.26460 	-1.520 	I
2459744.26871 	-1.555 	I
2459744.27281 	-1.585 	I
2459744.27692 	-1.616 	I
2459744.28102 	-1.653 	I
2459744.28513 	-1.677 	I
2459744.28924 	-1.705 	I
2459744.29335 	-1.716 	I
2459744.29744 	-1.746 	I
2459744.30155 	-1.750 	I
2459744.30566 	-1.776 	I
2459744.30977 	-1.791 	I
2459744.31387 	-1.795 	I
2459744.31797 	-1.814 	I
2459744.32208 	-1.828 	I
2459744.33015 	-1.846 	I
2459744.33427 	-1.856 	I
2459744.33837 	-1.861 	I
2459744.34248 	-1.869 	I
2459744.34659 	-1.869 	I
2459744.35068 	-1.870 	I
2459744.35480 	-1.851 	I
2459744.35890 	-1.835 	I
2459744.36301 	-1.835 	I
2459744.36712 	-1.829 	I
2459744.37121 	-1.806 	I
2459744.37532 	-1.782 	I
2459744.37943 	-1.767 	I
2459744.38530 	-1.719 	I
2459744.38940 	-1.701 	I
2459744.39350 	-1.679 	I
2459744.39761 	-1.654 	I
2459744.40172 	-1.628 	I
2459744.40582 	-1.585 	I
2459744.41081 	-1.536 	I
2459744.41492 	-1.514 	I
2459744.41901 	-1.484 	I
2459744.42312 	-1.459 	I
2459744.42723 	-1.464 	I
2459744.43134 	-1.450 	I
2459744.43544 	-1.478 	I
2459744.43954 	-1.476 	I
2459744.44365 	-1.490 	I
2459744.45026 	-1.463 	I
2459744.45436 	-1.537 	I
2459744.45847 	-1.561 	I
2459744.46258 	-1.583 	I
2459744.46667 	-1.616 	I
